"﻿""証券コード""",CSV略称,正式企業名(和),Qr1略称(和),カナ,正式企業名(英),略称(英),FACTSET業種,旧社名・旧商号,EDINETコード,新証券コード,協会業種,日経業種(小分類),優先市場,配信開始日,売買単位,発行済株式総数,HPアドレス,決算期,配当基準日,決算発表予定日,決算発表履歴,日経業種（中分類）_抽出,上場市場名_抽出,指数採用_抽出
1301,極　洋,極洋,極洋,ｷｮｸﾖｳ,"KYOKUYO CO., LTD.",KYOKUYO,食肉・魚・乳製品,,E00012,325720000,水産・農林業,水産,東証,データなし,100,"12,078,283",http://www.kyokuyo.co.jp,3/末,3/末,3Q連: 2026/02/06 11:00,"1Q: 2025/08/04
2Q: 2025/11/04
3Q: 2025/02/03
通期: 2025/05/12",水産,東証ﾌﾟﾗｲﾑ,
130A,ＶＩＳ,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,ウェリタス,ｳｪﾘﾀｽｲﾝｼﾘｺ,VERITAS IN SILICO INC.,VIS,バイオテクノロジー,,E39268,315534000,医薬品,医家向医薬品,東証,(24/ 2/ 8),100,"6,487,114",https://www.veritasinsilico.com/,12/末,6/末 12/末,本単: 2026/02/12 12:00,"1Q: 2025/05/09
2Q: 2025/08/04
3Q: 2025/11/11
通期: 2025/02/13",医薬品,東証ｸﾞﾛｰｽ,
1332,ニッスイ,ニッスイ,ニッスイ,ﾆｯｽｲ,NISSUI CORP.,NISSUI,製菓業,,E00014,371880000,水産・農林業,水産,東証,データなし,100,"312,430,277",https://www.nissui.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 12:00,"1Q: 2025/08/05
2Q: 2025/11/06
3Q: 2025/02/07
通期: 2025/05/14",水産,東証ﾌﾟﾗｲﾑ,日経平均 JPX日経400 日経300 日経500平均
1333,ﾏﾙﾊﾆﾁﾛ,マルハニチロ,マルハニチロ,ﾏﾙﾊﾆﾁﾛ,MARUHA NICHIRO CORP.,MARUNICI,食肉・魚・乳製品,"Ｕｍｉｏｓ
マルハニチロ
マルハニチロホールディングス
青森罐詰
土谷食品
マルハグループ本社
大洋ｴｰｱﾝﾄﾞｴﾌ
マルハ",E00015,387660000,水産・農林業,水産,東証,(14/ 4/ 1),100,"151,736,511",https://www.maruha-nichiro.co.jp/corporate/,3/末,9/末 3/末,3Q連: 2026/02/09 15:00,"1Q: 2025/08/05
2Q: 2025/11/10
3Q: 2025/02/10
通期: 2025/05/12",水産,東証ﾌﾟﾗｲﾑ,日経300 日経500平均
135A,VRAIN,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,ヴレインＳ,ｳﾞﾚｲﾝｿﾘｭｰｼｮﾝ,"VRAIN SOLUTION, INC.",VRAIN,パッケージ・ソフトウェア,,E39382,315987000,情報・通信業,他サービス業,東証,(24/ 2/22),100,"10,233,000",https://vrain.co.jp/,2/末,8/末 2/末,3Q単: 2026/01/14,"1Q: 2025/07/14
2Q: 2025/10/14
3Q: 2026/01/14
通期: 2025/04/14",サービス,東証ｸﾞﾛｰｽ,
1375,ユキグニ,ユキグニファクトリー,ユキグニ,ﾕｷｸﾞﾆﾌｧｸﾄﾘｰ,"YUKIGUNI FACTORY CO., LTD.",YUKIGUNI,農産物・製粉業,,E00007,394701000,水産・農林業,水産,東証,(20/ 9/17),100,"39,910,700",https://www.yukiguni-factory.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/09 15:00,"1Q: 2025/08/07
2Q: 2025/11/06
3Q: 2025/02/06
通期: 2025/05/09",水産,東証ﾌﾟﾗｲﾑ,
1376,ｶﾈｺ種,カネコ種苗,カネコ種,ｶﾈｺｼｭﾋﾞｮｳ,"KANEKO SEEDS CO., LTD.",KANEKO,林産業,"ベルデ九州
カネコ種苗",E00004,321620000,水産・農林業,水産,東証,(13/ 7/16),100,"11,772,626",http://www.kanekoseeds.jp,5/末,11/末 5/末,2Q連: 2026/01/07,"1Q: 2025/10/03
2Q: 2026/01/07
3Q: 2025/04/04
通期: 2025/07/11",水産,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1377,ｻｶﾀのﾀﾈ,サカタのタネ,サカタタネ,ｻｶﾀﾉﾀﾈ,SAKATA SEED CORP.,SK-SEED,林産業,,E00006,331500000,水産・農林業,水産,東証,データなし,100,"45,410,750",http://www.sakataseed.co.jp,5/末,11/末 5/末,2Q連: 2026/01/13,"1Q: 2025/10/07
2Q: 2026/01/13
3Q: 2025/04/08
通期: 2025/07/14",水産,東証ﾌﾟﾗｲﾑ,日経300
1379,ホクト,ホクト,ホクト,ﾎｸﾄ,HOKUTO CORP.,HOKUTO,農産物・製粉業,,E00008,384325000,水産・農林業,水産,東証,(99/11/29),100,"33,359,040",http://www.hokto-kinoko.co.jp,3/末,9/末 3/末,3Q連: 2026/02/13 15:00,"1Q: 2025/08/08
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/14",水産,東証ﾌﾟﾗｲﾑ,日経300 日経500平均
137A,Cocolive,Ｃｏｃｏｌｉｖｅ,ココリブ,ｺｺﾘﾌﾞ,"COCOLIVE, INC.",COCOLIVE,パッケージ・ソフトウェア,,E39349,329739000,情報・通信業,他サービス業,東証,(24/ 2/28),100,"3,022,440",https://cocolive.co.jp/,5/末,11/末 5/末,2Q単: 2026/01/09,"1Q: 2025/10/10
2Q: 2026/01/09
3Q: 2025/04/11
通期: 2025/07/11",サービス,東証ｸﾞﾛｰｽ,
